Daytime/evening attendance,Previous qualification (grade),Mother's qualification,Father's qualification,Admission grade,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target
1,4.364,1,1,3.636,0,0,1,0,0,1,0,0,7,8,7,7.425,0,8,8,8,7.6,0
1,4.545,1,1,4.545,0,0,1,0,0,1,0,0,6,10,6,6.5,0,6,19,5,6.5,1
1,4.727,3,3,3.882,0,0,1,0,1,1,0,0,7,8,7,7.394,0,8,8,8,7.931,1
1,2.545,2,2,2.527,0,0,1,0,1,1,0,0,7,7,7,6.85,0,8,9,7,7.336,1
1,3.727,1,3,3.282,0,0,1,0,1,1,0,0,7,7,7,6.248,0,8,9,7,6.121,0
1,3.636,1,3,2.727,0,0,1,0,0,1,0,0,7,7,6,7.283,0,7,7,6,7.283,1
1,3.918,1,2,0.909,0,1,0,0,0,2,0,0,5,5,5,5.6,0,5,5,4,5.625,0
1,3.636,2,2,2.436,0,0,1,0,0,1,0,0,8,8,7,6.343,0,8,8,7,6.343,1
1,3.636,1,2,3.482,0,1,0,0,0,2,0,5,9,12,7,6.786,4,9,14,4,6.625,0
1,3.918,2,2,2.455,0,0,1,0,0,1,0,0,6,0,0,0.0,0,6,0,0,0.0,0
0,3.636,3,2,3.773,0,0,1,0,0,2,0,0,6,8,5,5.5,0,6,7,6,5.583,1
1,5.364,2,1,4.073,0,0,1,0,0,1,0,0,8,8,8,7.223,0,8,8,8,7.223,1
0,3.636,2,1,3.636,0,1,0,0,0,2,0,7,12,12,11,7.0,4,10,11,8,7.312,0
1,5.0,3,3,3.409,0,0,1,0,1,1,0,0,7,7,6,6.708,0,7,7,6,6.708,1
1,3.636,3,3,3.0,0,0,1,0,0,1,0,0,5,8,5,6.167,0,5,7,5,5.7,1
1,3.455,1,2,0.909,0,0,1,0,0,1,0,0,7,8,7,6.55,0,8,8,8,7.406,1
1,1.909,2,2,2.2,0,0,1,0,0,1,0,0,6,9,4,6.6,0,6,10,5,6.4,1
1,4.545,1,1,3.045,0,0,1,0,1,1,0,0,8,8,8,7.375,0,8,8,8,7.375,1
1,4.545,2,2,4.936,0,0,1,0,1,1,0,3,6,7,6,6.571,2,6,6,6,7.167,1
1,5.545,1,1,6.536,0,0,1,0,0,1,0,0,5,6,4,6.875,0,5,8,5,7.429,1
1,3.818,3,3,4.173,0,0,1,0,0,1,0,0,6,11,5,6.2,0,6,7,6,6.5,1
1,2.364,2,2,1.827,0,0,1,0,0,1,0,0,6,6,6,6.667,0,6,6,6,6.0,1
1,2.727,2,3,2.955,0,0,0,0,0,2,0,11,11,11,11,5.864,8,8,8,8,6.0,0
1,6.182,3,3,4.373,0,0,1,0,0,1,0,0,6,8,4,6.25,0,6,11,1,7.0,0
1,2.364,1,1,2.482,0,1,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0
1,2.0,1,3,1.527,0,0,1,0,1,1,0,0,7,8,6,6.767,0,8,9,7,6.807,1
1,3.273,1,2,2.736,1,0,1,0,1,1,0,0,6,6,6,6.583,0,6,6,6,6.333,1
1,2.727,2,2,2.409,0,0,1,0,1,1,0,0,6,9,5,6.6,0,6,8,5,5.5,1
1,5.727,1,2,4.518,0,0,1,0,1,1,0,0,7,7,7,6.714,0,7,7,7,7.429,1
1,3.091,2,1,3.064,0,0,1,0,1,1,0,1,6,8,6,6.357,0,6,8,6,6.312,1
1,3.364,1,1,2.409,0,0,1,0,0,1,0,0,6,0,0,0.0,0,6,0,0,0.0,0
1,3.273,2,3,2.927,0,0,1,0,1,1,0,0,6,6,6,6.833,0,6,9,6,6.833,1
1,3.918,3,2,5.091,0,1,1,0,0,1,0,0,6,6,5,5.5,0,6,6,6,6.583,1
1,3.636,1,1,3.073,0,0,1,0,0,1,0,0,5,7,4,6.0,0,5,6,5,6.0,1
1,3.364,2,2,2.727,0,0,1,0,0,1,0,0,6,6,0,0.0,0,6,0,0,0.0,0
1,4.818,3,3,3.355,0,0,1,0,0,1,0,0,6,14,5,5.5,0,6,6,6,5.833,1
1,3.636,2,2,2.845,0,0,1,0,0,1,0,0,6,12,5,6.0,0,6,8,6,5.786,0
1,4.182,2,1,3.545,0,0,1,0,1,1,0,0,7,7,7,6.654,0,8,10,8,6.275,1
1,3.182,3,3,2.264,0,1,0,0,0,1,0,0,6,8,3,6.833,0,6,7,3,5.333,0
1,1.818,2,1,1.5,0,1,0,0,0,1,0,0,6,6,0,0.0,0,6,9,0,0.0,0
1,3.636,3,3,3.991,0,0,1,0,0,1,0,0,6,10,5,6.1,0,6,8,4,5.625,1
1,4.091,1,1,3.173,0,0,1,0,1,1,0,0,6,7,6,6.333,0,6,6,6,6.417,1
1,3.909,2,3,3.5,0,0,1,0,1,1,0,0,8,8,8,7.036,0,8,8,8,7.036,1
1,2.909,2,2,3.291,0,0,1,0,0,1,0,0,5,14,4,7.125,0,5,9,5,6.6,0
1,2.909,2,2,2.882,0,0,0,0,0,1,0,0,6,0,0,0.0,0,2,2,0,0.0,0
1,3.455,2,2,2.755,0,0,1,0,0,1,0,0,6,12,2,6.5,0,6,8,5,5.8,1
1,4.455,3,3,3.436,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0
1,3.091,3,3,3.027,0,0,1,0,1,1,0,0,8,8,7,7.451,0,8,8,7,7.451,0
1,4.091,3,2,3.3,0,1,1,0,1,1,0,0,7,8,7,6.325,0,8,9,8,6.223,1
0,1.818,2,3,3.473,0,0,0,0,0,1,0,7,12,12,7,5.5,5,5,5,5,5.3,0
1,4.364,2,3,4.082,0,0,1,0,0,1,0,0,5,7,4,6.2,0,5,9,5,6.333,1
1,4.545,3,3,4.545,0,0,1,0,0,1,0,0,6,7,6,6.0,0,6,7,6,6.333,1
1,3.273,1,2,2.318,0,0,1,0,1,1,0,0,7,8,7,6.068,0,8,10,7,6.664,1
1,5.0,2,2,4.236,0,0,1,0,1,1,0,0,7,12,6,6.883,0,8,10,7,7.026,1
1,3.091,3,3,2.664,0,0,1,0,0,1,0,0,8,8,8,6.558,0,8,8,8,6.558,1
1,6.364,1,3,5.636,0,0,0,0,0,1,0,0,5,5,0,0.0,0,6,0,0,0.0,0
1,4.364,3,2,4.936,0,0,1,0,0,1,0,0,7,9,6,6.35,0,8,8,7,6.786,1
1,3.364,2,3,3.591,0,0,1,0,1,1,0,0,7,7,6,6.167,0,7,7,6,6.167,1
1,1.909,1,1,1.4,0,0,1,0,0,1,0,0,5,6,5,6.667,0,5,6,5,6.6,1
1,0.909,1,2,4.182,0,0,1,0,0,1,0,4,7,9,7,7.178,5,8,8,8,6.747,1
1,6.364,3,3,6.364,0,1,1,0,1,1,0,0,6,8,6,6.5,0,6,11,5,6.5,1
1,5.636,3,3,4.464,0,0,1,0,1,1,0,0,6,6,6,6.417,0,6,6,6,6.75,1
1,4.909,3,3,3.355,0,0,1,0,1,1,0,0,5,5,5,6.6,0,5,5,4,6.5,1
1,3.982,1,3,8.545,0,0,1,0,0,2,0,0,7,9,7,8.503,1,8,9,8,8.291,1
1,3.182,3,3,3.182,0,1,0,0,1,1,0,0,6,8,5,5.3,0,6,8,5,5.5,1
1,5.455,3,3,4.409,0,0,1,0,1,1,0,0,5,5,5,7.0,0,5,6,5,6.8,1
1,4.818,3,3,3.955,0,0,1,0,1,1,0,0,8,8,7,6.057,0,8,8,7,6.057,1
1,5.0,2,3,4.682,0,0,1,0,1,1,0,0,8,8,8,6.529,0,8,8,8,6.529,1
1,2.727,1,1,3.636,0,0,1,0,0,1,0,4,8,8,7,6.643,4,8,8,7,6.643,1
1,5.0,2,1,5.0,0,0,1,0,1,1,0,0,7,7,7,7.036,0,8,8,8,7.581,1
1,2.909,3,3,2.209,0,0,0,0,0,1,0,0,6,0,0,0.0,0,6,0,0,0.0,0
1,1.818,3,3,1.664,0,0,0,0,0,2,0,4,9,9,4,5.625,3,10,12,3,5.5,0
1,4.182,3,3,3.2,0,0,1,0,1,1,0,0,6,6,6,7.0,0,6,8,6,6.812,1
1,5.0,1,3,3.791,0,0,1,0,1,1,0,0,6,8,6,6.083,0,6,11,3,5.833,0
1,4.636,3,3,3.3,0,0,1,0,0,1,0,0,8,8,7,6.649,0,8,8,7,6.649,1
1,5.364,2,2,5.236,0,0,1,0,0,1,0,0,6,14,6,6.962,0,6,9,6,7.125,1
1,3.636,3,2,3.191,0,0,1,0,0,1,0,0,7,11,7,6.685,0,8,13,7,6.417,1
1,3.455,1,1,3.709,0,0,1,0,0,1,0,0,5,5,4,7.5,0,5,5,4,6.875,0
1,5.636,2,2,5.827,0,1,1,0,1,1,0,0,6,6,6,6.667,0,6,7,6,6.286,1
0,1.545,2,2,1.227,0,0,1,0,0,1,0,0,6,7,5,6.7,0,6,9,5,6.1,1
0,4.636,2,3,0.909,0,0,1,0,0,1,0,1,5,9,4,5.75,1,5,5,5,5.7,1
1,5.273,2,2,3.982,0,0,1,0,0,1,0,0,8,8,7,6.743,0,8,8,7,6.743,1
1,3.636,2,2,2.591,1,0,1,0,1,1,0,0,6,6,6,6.0,0,6,8,6,5.643,1
1,5.0,3,3,5.482,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0
1,4.091,1,3,2.773,0,0,1,0,0,1,0,0,8,11,7,6.629,0,8,11,7,6.629,1
1,3.0,3,3,2.782,0,0,0,0,0,1,0,0,6,9,3,5.833,0,6,15,1,5.0,0
1,3.273,3,3,2.609,0,0,1,0,1,1,0,0,6,7,6,6.786,0,6,6,6,6.25,1
1,5.455,1,3,3.709,0,0,1,0,1,1,1,0,6,9,5,5.9,0,6,9,5,5.917,1
1,2.818,2,2,2.055,0,0,1,0,1,1,0,0,5,7,5,7.1,0,5,7,5,6.643,1
0,3.918,3,3,2.473,0,0,1,0,0,3,0,0,5,8,5,5.5,0,5,6,5,5.9,1
1,4.455,3,1,3.8,0,0,1,0,0,1,0,0,8,8,7,7.326,0,8,8,7,7.326,1
0,6.364,3,3,0.636,0,0,1,0,1,2,0,0,6,9,6,5.667,0,6,6,6,5.667,1
1,1.818,3,3,3.636,0,1,0,0,0,2,0,0,7,12,4,6.85,0,7,7,0,0.0,0
0,4.545,2,3,5.273,0,0,1,0,0,3,0,7,11,11,11,6.864,4,8,8,8,7.375,1
1,3.636,1,3,1.218,0,0,1,0,0,2,0,4,7,9,7,5.875,3,8,12,7,5.571,0
1,3.818,2,2,3.373,0,0,1,1,0,2,0,0,6,9,6,6.167,0,6,11,5,6.5,1
1,4.455,1,1,3.091,0,0,1,0,1,1,0,0,6,6,6,7.0,0,6,7,6,6.929,0
1,4.091,2,3,2.855,0,0,1,1,0,1,0,0,5,7,4,5.75,0,5,6,4,5.875,1
1,2.455,3,2,2.555,0,0,1,1,0,1,0,0,5,6,5,5.6,0,5,5,5,6.6,1
1,4.273,1,2,2.845,0,0,1,1,1,1,0,0,8,8,7,7.535,0,8,8,7,7.535,1
1,4.909,3,3,2.682,0,0,1,1,0,1,0,0,5,6,1,5.0,0,5,7,1,6.0,0
1,4.545,1,3,3.655,0,0,1,1,0,1,0,0,6,11,4,6.5,0,6,11,4,6.3,1
1,3.636,2,1,3.636,0,0,1,1,0,1,0,0,6,7,4,5.5,0,6,7,3,5.625,0
1,3.636,3,3,3.355,0,0,1,0,0,1,0,0,6,8,6,6.786,0,6,11,5,6.083,1
1,5.636,1,1,7.136,0,0,1,1,0,1,1,0,6,7,5,7.3,0,6,6,5,7.1,1
1,3.918,3,3,3.636,0,1,1,0,0,3,0,0,7,13,3,5.917,0,7,14,2,5.0,0
1,4.545,3,3,2.982,0,0,1,0,1,1,0,0,7,11,7,6.312,0,8,11,8,6.256,1
1,3.918,3,3,1.818,0,0,1,0,0,3,0,0,7,12,4,5.75,0,7,14,3,6.167,0
1,4.545,1,1,3.373,0,0,1,0,0,1,0,0,5,8,4,6.625,0,5,10,4,5.25,1
1,3.918,2,2,1.682,0,0,1,0,0,1,0,0,7,9,7,6.303,0,8,12,6,5.95,1
1,4.545,2,3,4.382,0,1,0,0,0,1,0,7,10,15,8,6.875,4,9,17,5,6.6,0
1,4.091,2,2,3.136,0,0,1,0,1,1,0,0,6,11,5,5.571,0,6,8,6,6.143,1
1,4.545,3,3,3.845,0,0,1,0,0,1,0,0,5,9,1,5.0,0,5,10,1,5.5,0
1,3.455,2,1,2.791,0,1,1,0,0,1,0,0,6,8,6,5.833,0,6,10,4,5.75,1
1,4.636,1,2,3.873,0,0,1,0,1,1,0,0,6,8,6,7.0,0,6,7,6,6.571,1
1,4.545,3,3,4.545,0,0,1,0,0,2,0,0,5,9,0,0.0,0,5,9,0,0.0,0
1,4.455,1,1,3.136,0,0,1,0,0,1,0,0,8,9,7,6.021,0,8,9,7,6.021,1
1,4.727,2,2,4.727,0,0,1,0,1,1,0,0,0,0,0,0.0,0,0,0,0,0.0,1
1,3.636,1,1,3.636,0,0,1,0,0,3,0,12,13,14,13,6.885,9,12,16,12,7.292,1
1,3.636,3,3,4.909,0,0,1,0,0,2,0,13,18,20,18,7.722,11,13,13,13,7.654,1
1,4.545,3,1,4.545,0,0,0,0,0,2,0,0,3,3,2,5.0,0,6,0,0,0.0,0
1,2.727,1,3,2.173,0,0,1,0,0,1,0,0,6,8,4,6.125,0,6,13,3,5.167,0
1,5.182,1,2,4.291,0,0,0,0,0,1,0,0,6,6,6,7.25,0,6,6,6,7.583,1
1,4.545,1,2,4.545,0,0,1,0,0,2,0,0,6,7,6,7.786,0,6,8,6,8.188,1
1,6.455,1,2,5.664,0,0,1,0,0,1,0,0,6,7,6,7.786,0,6,7,6,7.357,1
0,3.918,3,3,2.045,0,0,1,0,0,2,0,0,6,8,5,6.9,0,6,7,6,6.083,1
1,5.455,2,3,1.0,0,1,0,0,0,2,0,0,5,8,3,5.333,0,5,14,2,7.4,0
1,2.091,1,3,2.027,0,1,1,0,1,1,0,0,6,8,5,5.8,0,6,8,4,5.875,1
1,4.545,3,3,2.182,0,0,0,0,0,2,0,0,6,11,1,6.5,0,6,12,0,0.0,0
1,3.636,3,3,3.636,0,0,1,0,0,2,0,0,5,9,3,6.0,0,5,11,4,6.812,1
1,2.727,3,3,2.864,0,1,1,0,0,1,0,11,14,14,12,6.167,11,14,14,12,6.167,1
0,3.636,3,3,3.636,0,0,0,0,0,2,0,0,6,12,1,5.5,0,6,0,0,0.0,0
1,2.727,3,3,3.245,0,1,0,0,0,3,0,0,6,10,4,6.125,0,6,13,4,5.25,0
1,4.545,3,3,3.455,0,0,0,0,0,2,0,0,7,7,0,0.0,0,8,8,0,0.0,0
1,3.918,3,1,2.727,0,0,1,0,1,2,0,0,8,9,8,6.815,0,8,9,8,6.815,1
1,3.636,3,3,2.527,0,0,1,0,0,1,0,0,5,8,3,6.5,0,5,7,4,5.75,1
1,7.818,1,3,7.245,0,0,1,0,1,1,0,0,7,7,7,8.45,0,8,9,8,8.189,1
1,3.091,2,2,2.518,0,0,1,0,0,1,0,0,6,10,5,6.0,0,6,11,4,6.0,1
0,2.727,2,3,2.891,0,0,1,0,0,1,0,3,6,6,6,6.25,2,6,7,6,6.643,1
1,4.545,1,1,3.482,0,0,1,0,0,1,0,0,8,8,7,6.382,0,8,8,7,6.382,1
1,4.818,2,3,3.836,0,0,1,0,1,1,0,0,5,8,5,6.875,0,5,6,5,6.083,1
1,4.182,3,1,4.027,0,1,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0
1,3.818,2,1,3.036,0,0,1,0,1,1,0,0,7,7,7,7.302,0,8,9,8,7.842,1
0,3.918,2,3,2.882,0,1,0,0,0,2,0,0,5,7,0,0.0,0,5,7,0,0.0,0
0,0.909,1,2,3.636,0,1,1,0,1,2,0,0,6,9,5,6.917,0,6,7,6,6.25,1
1,4.273,2,3,3.318,0,0,1,0,1,1,0,0,8,8,8,6.788,0,8,8,8,6.788,1
1,5.727,3,3,6.336,0,0,1,0,1,1,0,0,6,7,6,7.571,0,6,6,6,7.917,1
1,6.364,1,2,5.573,0,0,1,0,0,2,0,0,5,8,3,5.333,0,5,8,5,5.8,1
1,5.0,3,3,4.364,0,0,1,0,0,1,0,0,6,11,5,5.6,0,6,6,6,6.0,1
1,4.273,3,3,3.318,0,0,1,0,0,1,0,0,8,8,8,6.882,0,8,8,8,6.882,1
1,2.727,2,3,2.027,0,0,1,0,1,1,0,0,6,10,5,5.357,0,6,10,5,6.1,1
1,2.909,1,2,3.391,0,1,1,0,0,1,0,0,6,6,6,6.083,0,6,7,6,5.833,1
1,3.636,2,3,3.636,0,0,1,0,0,2,0,1,7,8,6,7.179,1,7,8,6,7.179,1
1,3.918,1,1,2.273,0,0,1,0,0,1,0,0,6,6,6,6.417,0,6,6,6,6.333,1
1,5.455,1,3,3.773,0,0,1,0,0,1,0,0,8,8,7,6.963,0,8,8,7,6.963,1
0,3.918,2,3,3.245,0,0,1,0,0,2,0,0,5,9,2,6.0,0,5,9,3,5.5,0
1,4.636,1,3,3.345,0,0,1,0,0,1,0,0,7,7,7,6.721,0,8,9,8,6.872,1
1,5.091,1,3,3.855,0,0,1,1,0,1,0,0,5,5,1,8.0,0,5,5,0,0.0,0
1,5.455,3,3,5.455,0,0,1,1,0,1,0,0,6,8,6,6.562,0,6,10,6,6.6,1
1,3.918,1,1,0.455,0,0,1,1,0,1,0,0,6,7,0,0.0,0,6,6,0,0.0,0
0,2.727,3,3,3.473,0,0,0,1,0,2,0,5,9,9,5,5.7,4,4,4,4,5.5,0
1,5.455,2,2,3.636,0,0,0,1,0,2,0,0,4,12,2,5.5,0,5,9,3,5.833,0
1,4.545,2,1,6.355,0,0,1,0,0,1,0,2,6,14,5,6.833,2,6,10,5,6.5,1
0,4.545,3,3,0.909,0,0,0,0,0,2,0,2,6,10,4,5.875,0,5,6,1,5.0,0
1,3.918,3,3,2.409,0,0,1,0,0,2,0,0,7,11,1,5.0,0,7,7,1,6.5,0
1,3.455,2,2,2.727,0,0,1,0,1,1,0,0,6,8,6,6.75,0,6,9,6,6.417,1
1,2.455,2,2,2.455,0,1,1,0,0,1,0,0,6,0,0,0.0,0,6,0,0,0.0,0
1,3.091,3,3,2.555,0,0,0,0,0,1,0,0,6,11,3,6.5,0,6,10,5,5.9,0
1,6.182,2,3,5.773,0,0,1,0,0,1,0,0,6,7,6,7.417,0,6,6,6,8.0,1
1,4.273,3,3,3.445,0,0,1,0,0,1,0,0,6,6,6,5.917,0,6,7,6,6.429,1
1,3.0,3,3,2.618,1,0,1,0,1,1,0,0,6,10,5,6.0,0,6,11,5,6.167,1
1,3.273,3,3,3.336,0,0,1,0,0,1,0,0,6,11,4,6.375,0,6,7,6,5.667,1
1,3.918,1,1,1.818,0,0,1,0,1,2,0,0,6,7,0,0.0,0,6,16,1,5.0,0
1,2.273,2,3,2.273,0,0,1,0,0,1,0,0,6,6,6,6.0,0,6,7,6,6.429,1
1,3.818,3,3,2.636,0,0,1,0,0,1,0,0,7,9,7,5.839,0,8,8,8,6.9,1
1,3.818,1,3,2.891,0,0,1,0,1,1,0,0,8,8,7,6.8,0,8,8,7,6.8,1
1,4.818,2,3,3.945,0,0,1,0,0,1,0,0,6,7,6,8.0,0,6,8,6,7.938,1
1,4.273,1,1,3.764,0,0,1,0,0,1,0,0,6,9,5,5.9,0,6,7,6,5.75,1
1,3.636,2,3,4.091,0,1,1,1,0,2,0,0,5,5,0,0.0,2,6,7,2,7.0,0
1,2.818,2,2,2.982,0,0,1,1,0,1,0,0,6,0,0,0.0,0,6,0,0,0.0,0
1,3.636,3,2,4.545,0,1,1,0,1,2,0,0,6,7,6,8.071,0,6,10,6,8.1,1
1,4.091,3,3,3.209,0,0,1,0,1,1,0,0,8,8,7,5.893,0,8,8,7,5.893,1
1,4.273,1,1,3.3,0,0,1,0,1,1,0,0,8,8,8,6.712,0,8,8,8,6.712,1
1,0.909,3,3,0.909,0,0,1,0,0,1,0,0,6,8,6,6.25,0,6,10,5,7.083,1
1,3.364,2,3,2.845,0,0,1,0,1,1,0,0,8,8,7,6.232,0,8,8,7,6.232,1
1,4.545,3,3,2.727,0,0,1,0,0,2,0,0,6,8,1,5.0,0,6,9,0,0.0,0
1,3.727,2,3,3.609,0,0,1,0,0,1,0,0,5,5,5,6.3,0,5,6,4,6.2,1
1,5.545,3,3,3.827,0,0,1,0,0,2,0,0,5,7,2,5.0,0,5,6,4,6.0,0
1,3.636,3,3,2.755,0,0,1,0,0,2,0,0,7,7,0,0.0,0,6,0,0,0.0,0
0,2.727,3,3,2.727,0,0,1,0,0,2,0,0,5,7,5,5.8,0,5,8,5,6.167,1
1,4.182,2,2,3.009,0,0,1,0,0,1,0,0,6,8,6,6.083,0,6,6,6,6.75,1
1,3.182,1,2,2.673,0,0,1,0,0,1,0,0,6,10,4,6.8,0,6,7,5,6.333,1
1,3.918,3,3,4.545,0,0,0,0,0,2,0,0,5,8,4,6.25,0,5,8,5,5.9,0
1,2.727,2,3,2.091,0,0,1,0,1,1,0,0,6,7,6,5.857,0,6,8,6,6.312,1
1,4.818,2,2,3.991,0,0,1,1,1,1,1,0,6,7,6,6.75,0,6,7,6,6.5,1
1,3.918,3,2,2.318,0,0,1,1,1,1,0,0,8,8,7,6.512,0,8,8,7,6.512,1
1,2.818,1,2,2.409,0,0,0,1,0,1,0,0,6,12,0,0.0,0,6,0,0,0.0,0
1,7.091,2,2,7.382,0,0,1,1,1,1,0,0,5,6,5,8.667,0,5,8,5,9.286,1
1,3.091,2,3,2.645,0,0,1,1,1,1,0,0,5,7,4,5.5,0,5,7,4,5.75,1
1,3.364,2,3,2.827,0,0,1,1,0,1,0,0,7,10,6,6.833,0,7,9,6,6.25,0
1,4.273,2,1,3.891,0,0,1,1,0,1,0,0,6,6,6,6.417,0,6,8,6,5.917,1
1,2.727,3,3,3.336,0,0,1,1,0,1,0,0,6,9,5,6.3,0,6,11,4,5.75,1
1,1.818,2,2,1.436,0,0,1,1,0,1,0,0,7,8,6,7.167,0,8,9,7,6.886,1
1,4.818,3,3,4.545,0,0,1,1,0,1,0,0,8,8,7,7.143,0,8,8,7,7.143,1
1,2.727,1,2,2.727,0,0,1,1,0,1,0,2,6,15,3,5.875,0,6,12,2,5.0,0
1,3.091,1,2,2.682,0,0,1,1,0,1,1,0,5,5,5,7.4,0,5,5,5,8.8,1
1,7.091,1,3,5.809,0,1,0,1,0,2,0,0,6,7,0,0.0,0,6,0,0,0.0,0
0,3.918,1,1,3.636,0,0,1,1,0,2,0,0,6,14,1,5.0,0,5,5,0,0.0,0
1,5.455,3,3,1.545,0,0,1,1,0,2,0,0,5,5,0,0.0,0,5,5,0,0.0,0
1,4.545,3,3,3.891,0,0,1,1,0,2,0,0,7,10,4,6.3,0,7,9,5,6.19,0
0,5.0,1,3,3.409,0,0,1,1,0,1,0,0,5,9,5,6.214,0,5,7,5,5.9,1
1,3.0,1,2,2.909,0,0,1,1,0,1,0,0,5,7,3,6.167,0,5,5,0,0.0,0
1,2.727,1,2,2.255,0,0,0,1,0,1,0,0,6,0,0,0.0,0,6,0,0,0.0,0
1,4.545,1,1,4.545,0,1,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,1
1,3.273,1,1,1.909,0,1,1,1,0,1,0,5,11,12,10,6.05,2,8,9,8,6.667,1
1,4.273,1,2,3.927,0,0,1,0,1,1,0,0,6,7,6,7.357,0,6,6,6,7.5,1
1,3.636,2,2,3.0,0,0,1,0,0,1,0,0,6,6,6,6.333,0,6,7,6,6.417,1
1,5.455,1,3,5.455,0,0,1,0,1,2,0,7,12,14,12,7.192,5,10,12,10,6.65,1
1,5.182,2,3,3.845,0,0,1,0,1,1,0,0,5,5,5,6.7,0,5,6,5,6.1,1
1,4.545,3,3,3.273,0,0,1,0,0,1,0,0,8,8,7,6.657,0,8,8,7,6.657,1
1,3.818,3,3,2.664,0,0,1,0,0,1,0,0,8,8,7,5.994,0,8,8,7,5.994,1
1,3.636,1,2,3.982,0,0,1,0,0,1,0,6,11,17,11,5.773,3,9,13,8,6.444,1
1,3.636,3,3,3.318,0,0,1,0,1,1,0,0,6,13,6,8.231,0,6,8,6,6.938,1
1,5.545,3,3,4.4,0,0,1,0,1,2,0,0,6,7,6,6.833,0,6,6,6,6.417,1
1,4.909,1,3,3.545,0,0,1,0,0,1,0,0,7,8,7,6.325,0,8,9,8,6.706,0
1,3.727,2,3,3.618,0,0,1,0,0,1,0,0,7,8,6,7.185,0,8,10,7,7.325,1
1,3.636,3,3,3.482,0,0,0,0,1,1,0,0,6,12,3,6.0,0,6,15,3,5.333,0
1,3.636,1,2,3.636,0,0,1,0,1,1,0,0,6,11,4,6.0,0,6,14,3,5.5,0
1,3.727,1,3,2.9,0,0,1,0,0,1,0,0,6,10,5,6.3,0,6,7,5,5.6,1
1,4.091,1,3,3.582,0,1,1,0,0,1,0,0,6,6,6,6.083,0,6,6,6,6.167,1
1,5.0,3,3,3.227,0,0,1,0,1,1,0,0,8,8,8,6.882,0,8,8,8,6.882,1
1,2.545,3,3,2.527,0,0,1,0,1,1,0,0,7,11,6,6.2,0,7,8,6,6.4,1
1,5.636,3,3,4.455,0,0,1,0,0,1,0,0,7,7,6,7.167,0,7,7,6,7.167,1
1,4.273,3,3,4.336,0,1,0,0,0,1,0,0,6,14,1,5.0,0,6,13,0,0.0,0
1,3.0,1,1,2.145,0,0,1,0,0,1,0,0,7,8,7,7.348,0,8,9,8,7.311,1
1,3.727,2,3,3.5,0,0,1,0,1,1,0,0,7,9,7,6.428,0,8,8,8,6.956,1
1,4.636,1,1,4.8,0,0,1,0,0,1,0,0,7,7,7,6.85,0,8,9,8,6.997,1
1,4.909,1,1,4.336,0,0,0,0,0,2,0,0,5,9,0,0.0,1,5,10,1,6.0,0
1,3.909,3,3,3.018,0,0,1,0,0,1,0,0,7,7,7,6.643,0,8,9,8,6.667,1
1,2.727,1,2,2.727,0,0,1,0,0,1,0,0,6,14,5,5.75,0,6,13,5,5.5,0
1,3.636,3,3,2.664,0,0,1,0,1,1,0,0,8,8,7,5.7,0,8,8,7,5.7,1
1,2.727,3,3,2.818,0,0,1,0,1,1,0,3,6,6,6,6.167,2,6,8,6,5.667,1
1,4.364,2,2,4.491,0,0,1,0,0,1,0,0,6,7,5,6.4,0,6,10,4,6.1,1
1,3.091,2,3,2.173,0,0,1,0,1,1,0,0,5,8,5,6.0,0,5,8,4,7.5,1
1,3.909,3,3,3.145,0,0,1,0,1,1,0,0,6,8,5,6.5,0,6,9,5,6.75,1
1,2.909,1,1,3.073,0,1,0,0,1,1,0,0,6,6,6,5.917,0,6,8,6,5.5,0
1,4.364,1,1,3.3,0,0,1,0,0,1,0,0,6,8,6,7.0,0,6,9,6,6.667,1
1,4.0,1,1,2.764,0,0,1,0,1,1,0,0,6,6,6,6.167,0,6,6,6,6.75,1
1,3.918,2,2,4.536,0,0,1,0,1,2,0,1,6,7,6,6.25,0,6,11,6,6.417,1
1,4.727,1,1,3.936,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,1
1,4.636,2,2,3.273,0,0,1,0,0,1,0,0,8,8,7,7.829,0,8,8,7,7.829,1
1,5.0,1,2,3.955,0,0,1,0,0,1,0,0,6,6,6,6.083,0,6,6,6,5.667,1
1,5.0,3,2,3.445,0,0,1,0,0,1,0,0,6,0,0,0.0,0,6,0,0,0.0,0
1,4.545,3,3,1.136,0,0,1,0,0,2,0,0,6,8,4,5.875,0,6,12,0,0.0,0
